API Key,کلید API,
API Secret,API Secret,
About,درباره,
Address,آدرس,
Apply To,درخواست به,
Apps,برنامه ها,
Assigned To,اختصاص یافته به,
Assignment,تخصیص,
Color,رنگ,
Columns,ستون ها,
Comment,اظهار نظر,
Completed,تکمیل شد,
Condition,وضعیت,
Contact,مخاطب,
Content,محتوا,
Currency,واحد پول,
Date,تاریخ,
Default,پیش فرض,
Description,شرح,
Details,جزئیات,
DocType,DocType,
Document Type,نوع سند,
Done,انجام شده,
Due Date,سررسید,
Duration,مدت زمان,
Email,پست الکترونیک,
Email Sent At,ایمیل ارسال شده در,
Enabled,فعال,
End Date,تاریخ پایان,
Expired,منقضی شده,
Failed,ناموفق,
Filters,فیلترها,
First Name,نام کوچک,
Form,فرم,
Frappe Support,پشتیبانی Frappe,
Friday,جمعه,
From,از جانب,
From Date,از تاریخ,
From User,از کاربر,
Full Name,نام و نام خانوادگی,
Gender,جنسیت,
Group By,دسته بندی بر اساس,
High,بالا,
ID,شناسه,
Icon,آیکون,
Image,تصویر,
In Progress,در حال پیش رفت,
Is Default,پیش فرض است,
Is Primary,اصلی است,
Is Standard,استاندارد است,
Kanban,کانبان,
Key,کلید,
Keyboard Shortcuts,میانبرهای صفحه کلید,
Label,برچسب,
Last Name,نام خانوادگی,
Left,ترک کرد,
List,لیست,
Log,لاگ,
Log out,خروج,
Low,کم,
Medium,متوسط,
Mention,اشاره,
Message,پیام,
Middle Name,نام میانی,
Mobile No,شماره موبایل,
Monday,دوشنبه,
My Profile,پروفایل من,
My Settings,تنظیمات من,
Naming Series,سری نامگذاری,
Note,یادداشت,
Owner,مالک,
Pending,انتظار,
Phone,تلفن,
Position,موقعیت,
Priority,اولویت,
Public,عمومی,
Queued,در صف,
Quick Entry,ثبت سریع,
Read,خواندن,
Reference Doctype,نوع مرجع,
Reference Document Type,نوع سند مرجع,
Reference Name,نام مرجع,
Reload,بارگذاری مجدد,
Right,درست,
Role,نقش,
Sales Manager,مدیر فروش,
Sales User,کاربر فروش,
Salutation,عنوان پیشوند,
Saturday,شنبه,
Script,اسکریپت,
Session Defaults,پیش‌فرض‌های جلسه,
Source,منبع,
Source Name,نام منبع,
Start Date,تاریخ شروع,
Start Time,زمان شروع,
Status,وضعیت,
Sunday,یکشنبه,
System Manager,مدیر سیستم,
Task,وظیفه,
Thursday,پنج شنبه,
Title,عنوان,
Title Field,فیلد عنوان,
To,به,
To Date,تا تاریخ,
To User,به کاربر,
Toggle Full Width,تغییر وضعیت عرض کامل,
Toggle Theme,تغییر تم,
Tuesday,سه‌شنبه,
Type,نوع,
User,کاربر,
User Name,نام کاربری,
Validity,اعتبار,
View Website,مشاهده وب سایت,
Website,سایت اینترنتی,
Wednesday,چهار شنبه,
blue,آبی,
cyan,فیروزه ای,
gray,خاکستری,
green,سبز,
list,فهرست,
orange,نارنجی,
pink,رنگ صورتی,
purple,رنگ بنفش,
red,قرمز,
yellow,رنگ زرد,
